price,bedroom,bathroom,area(sqft),address,furnishing,completion_status,handover,project_name,propert_type
"1,150,000",1.0,2,6.839476438228843,GreenCommunity,0,1,2026.75,39,Apartment
"1,800,000",1.0,2,7.004881989712859,DIFC,0,1,2026.75,23,Apartment
"5,200,000",3.0,3,7.406103381237015,DowntownDubai,0,1,2027.25,12,Apartment
"11,500,000",2.0,3,7.650168700845001,PalmJumeirah,0,1,2027.0,4,Apartment
"1,849,999",1.0,2,6.752270376141742,SobhaHartland,0,1,2024.75,25,Apartment
"1,500,000",3.0,4,7.097548850614793,DAMACHills2(AkoyabyDAMAC),1,1,2026.75,5,Townhouse
"4,200,000",2.0,2,7.53689712956617,BusinessBay,0,0,2024.75,1,Apartment
"689,888",0.5,1,6.163314804034641,JumeirahVillageCircle(JVC),0,0,2026.25,2,Apartment
"860,000",1.0,2,6.542471960506805,Majan,1,0,2027.25,35,Apartment
"4,287,088",2.0,3,7.416979621381154,BusinessBay,0,1,2027.75,10,Apartment
"982,000",1.0,1,6.302618975744905,MotorCity,0,0,2025.5,21,Apartment
"650,000",0.5,1,5.963579343618446,DubaiStudioCity,1,0,2025.0,1,Apartment
"2,960,888",3.0,4,7.404279118037268,DubaiSouth,0,0,2029.0,1,Apartment
"575,000",0.5,1,6.052089168924417,AlFurjan,0,1,2025.75,2,Apartment
"880,000",0.5,1,6.180016653652572,BusinessBay,1,1,2025.25,70,Apartment
"1,045,000",1.0,1,6.35088571671474,Arjan,0,1,2025.75,4,Apartment
"1,180,417",1.0,2,6.675823221634848,AlFurjan,0,0,2027.75,8,Apartment
"1,400,000",1.0,1,6.517671272912275,DubaiHillsEstate,0,0,2026.25,8,Apartment
"750,000",0.5,1,6.184148890937483,JumeirahVillageCircle(JVC),1,1,2027.25,4,Apartment
"1,495,000",1.0,2,6.594413459749778,AlJaddaf,1,1,2024.75,23,Apartment
"7,299,999",3.0,3,7.570443252057374,DowntownDubai,0,1,2025.0,39,Apartment
"1,330,000",3.0,3,7.427144133408616,DAMACHills2(AkoyabyDAMAC),0,1,2028.25,1,Townhouse
"2,031,888",1.0,1,6.652863029353347,MinaRashid,0,0,2028.75,1,Apartment
"647,000",0.5,1,6.214608098422191,BusinessBay,1,1,2026.25,4,Apartment
"666,915",0.5,1,6.124683390894205,DubaiLandResidenceComplex,1,0,2027.0,2,Apartment
"330,000",0.5,1,5.942799375126701,DubaiInvestmentPark(DIP),0,0,2026.25,9,Apartment
"1,899,999",2.0,1,6.617402977974478,DubaiHillsEstate,1,1,2029.75,9,Apartment
"919,900",1.0,2,6.45833828334479,DubaiProductionCity(IMPZ),0,1,2024.75,31,Apartment
"925,000",0.5,1,6.786716950605081,BusinessBay,1,1,2026.5,7,Apartment
"3,019,019",1.0,2,7.080026499922591,BusinessBay,0,1,2026.25,23,Apartment
"710,000",1.0,2,6.759255270663693,DubaiSportsCity,1,1,2028.25,43,Apartment
"2,065,777",2.0,3,7.259116128097101,AlFurjan,1,0,2026.5,29,Apartment
"3,000,000",2.0,3,7.751475318021456,MeydanCity,0,1,2027.75,21,Apartment
"3,950,000",4.0,4,7.975564658495202,Mudon,0,0,2026.5,9,Villa
"3,709,888",2.0,3,7.430707082545968,CultureVillage(JaddafWaterfront),0,1,2026.75,33,Apartment
"450,000",0.5,1,6.516193076042964,DubaiLandResidenceComplex,0,1,2025.5,8,Apartment
"1,250,000",1.0,1,6.639875833826536,Arjan,0,1,2025.25,1,Apartment
"1,220,000",0.5,1,6.206575926724928,Bukadra,0,0,2027.75,17,Apartment
"2,250,000",2.0,3,7.130098510125578,DubaiIslands,0,0,2026.75,3,Apartment
"3,200,000",5.0,6,7.771067086065406,DAMACLagoons,1,0,2025.75,3,Apartment
"3,750,000",4.0,5,8.131824785007195,ArabianRanches3,0,0,2026.25,8,Townhouse
"10,350,000",3.0,4,7.780303087908373,PalmJumeirah,0,1,2028.25,18,Apartment
"2,356,888",2.0,2,7.007600613951853,ExpoCity,0,0,2029.0,3,Apartment
"1,100,000",2.0,2,6.78332520060396,Dubailand,0,1,2027.0,9,Apartment
"13,500,000",4.0,6,8.127699852817772,UmmSuqeim,0,1,2024.5,1,Apartment
"1,470,000",2.0,3,7.221835825288449,DubaiSportsCity,0,0,2026.5,8,Apartment
"1,150,000",1.0,2,6.697034247666484,WaslGate,0,0,2027.5,7,Apartment
"1,400,000",2.0,3,7.585788821732034,JumeirahVillageCircle(JVC),0,1,2026.0,10,Apartment
"875,000",0.5,1,6.124683390894205,JumeirahLakeTowers(JLT),0,1,2024.25,7,Apartment
"1,080,000",0.5,1,6.07073772800249,BusinessBay,1,1,2024.75,16,Apartment
"2,600,000",0.5,1,6.6895992691789665,AlJaddaf,0,0,2025.5,4,Apartment
"2,750,000",3.0,4,7.59337419312129,ArabianRanches3,0,0,2027.5,7,Townhouse
"2,990,000",2.0,2,7.105786129481271,BusinessBay,1,0,2029.75,27,Apartment
"4,287,088",2.0,3,7.416979621381154,BusinessBay,0,1,2027.75,4,Apartment
"2,850,000",2.0,4,7.288244401020124,DIFC,0,1,2024.75,39,Apartment
"1,800,000",2.0,3,6.918695219020472,DubaiSciencePark,1,0,2026.75,7,Apartment
"1,260,000",2.0,2,6.878326468291325,DAMACHills2(AkoyabyDAMAC),0,0,2027.25,26,Apartment
"1,850,000",3.0,4,7.4770384723196965,DubaiSportsCity,1,0,2027.75,26,Apartment
"785,000",1.0,2,6.8308742346461795,DubaiLandResidenceComplex,0,1,2025.0,3,Apartment
"4,100,000",5.0,7,7.768110378525988,DAMACLagoons,0,0,2025.75,11,Townhouse
"9,950,000",5.0,6,8.27410200229233,DubaiMarina,1,1,2026.0,7,Penthouse
"1,449,000",1.0,2,6.679599185844383,MohammedBinRashidCity,1,1,2029.0,24,Apartment
"938,598",1.0,1,6.673297967767654,AlFurjan,1,0,2025.25,1,Apartment
"1,315,000",2.0,3,6.895682697747868,DubaiInvestmentPark(DIP),0,0,2028.25,22,Apartment
"3,400,000",3.0,4,7.738052297689316,others,0,0,2028.25,2,Townhouse
